id_14854262 __stool_NN_2
id_08035233 __nestor_paz_zamora_commission_NN_1
id_01950502 __barge_VB_2
id_12627347 __crataegus_crus-galli_NN_1
id_07524529 __fear_NN_2
id_08510456 __provenience_NN_1
id_08214470 __platoon_NN_1
id_09146813 __waco_NN_1
id_04438742 __timolol_NN_1
id_08401248 __subdivision_NN_3
id_02056873 __spheniscus_NN_1
id_03455488 __tombstone_NN_1
id_13829047 __perpendicularity_NN_1
id_03031422 __pocket_lighter_NN_1
id_04847991 __theological_virtue_NN_1
id_08778597 __fijis_NN_1
id_10169419 __hellion_NN_1
id_06609785 __shmegegge_NN_1
id_06224657 __paganism_NN_1
id_08285896 __training_college_NN_1
id_06153186 __taxonomy_NN_2
id_00925735 __marvel_VB_2
id_03826945 __nitrous_oxide_NN_1
id_12854600 __sweet_balm_NN_1
id_10455619 __portrayer_NN_1
id_02071974 __seep_VB_1
id_10365984 __nullifier_NN_1
id_12560016 __pea_plant_NN_1
id_12572188 __templetonia_retusa_NN_1
id_08025835 __islamic_party_of_turkestan_NN_1
id_01566645 __cackler_NN_2
id_01825237 __want_VB_1
id_10353016 __newborn_infant_NN_1
id_08311687 __privy_council_NN_1
id_02622408 __lepidocybium_NN_1
id_00103834 __thrust_NN_3
id_02683419 __catapultic_JJ_1
id_01492357 __smooth_dogfish_NN_1
id_02221820 __slave-making_ant_NN_1
id_02969323 __carriageway_NN_1
id_09442838 __splinter_NN_1
id_01121855 __remuneration_NN_2
id_02702830 __suit_VB_1
id_11641963 __taxodium_distichum_NN_1
id_13486115 __gametogenesis_NN_1
id_05625465 __vision_NN_4
id_03103128 __engine_cooling_system_NN_1
id_02973017 __magazine_NN_6
id_11632794 __genus_athrotaxis_NN_1
id_15203229 __schooltime_NN_1
id_10676682 __supernumerary_NN_1
id_00402539 __perplex_VB_2
id_01856553 __greylag_goose_NN_1
id_12957467 __marsilea_NN_1
id_03954731 __woodworking_plane_NN_1
id_10541229 __swayer_NN_1
id_12669803 __psychotria_capensis_NN_1
id_02353529 __geomyidae_NN_1
id_07803895 __stodge_NN_1
id_00591725 __deanship_NN_1
id_10226556 __steamroller_NN_1
id_02680754 __adjustable_wrench_NN_1
id_10661732 __straw_boss_NN_1
id_12651821 __fruit_tree_NN_1
id_15222012 __summer_solstice_NN_1
id_07362075 __surcease_NN_1
id_02856109 __blueprint_NN_2
id_10352299 __neighbour_NN_1
id_03069567 __showpiece_NN_1
id_02502085 __order_dermoptera_NN_1
id_00739662 __relegate_VB_4
id_01750027 __genus_acanthophis_NN_1
id_07602454 __chocolate_candy_NN_1
id_02880008 __stem_NN_5
id_00944449 __extensile_JJ_1
id_08208560 __team_NN_1
id_03747508 __mephobarbital_NN_1
id_00842281 __pinch_NN_5
id_00967993 __bw_defense_NN_1
id_11178161 __michelangelo_buonarroti_NN_1
id_07487695 __sexual_urge_NN_1
id_06827219 __boldface_NN_1
id_00947128 __utilization_NN_1
id_00502085 __nazify_VB_1
id_00527367 __conventionalize_VB_1
id_01157384 __rearmament_NN_1
id_07029247 __theme_NN_3
id_03830111 __norinyl_NN_1
id_10261388 __lighterman_NN_1
id_07014854 __explosion_NN_6
id_01663443 __throw_VB_12
id_07994331 __herd_NN_1
id_01488555 __surcharge_VB_6
id_08786855 __delphi_NN_1
id_04092168 __rigout_NN_1
id_00867231 __sign_VB_8
id_10613505 __small_person_NN_1
id_09572425 __titan_NN_2
id_02302620 __wild_wilkworm_NN_1
id_02153959 __hoof_NN_1
id_10131268 __girondist_NN_1
id_01178415 __boston_tea_party_NN_1
id_02575723 __trick_VB_1
id_13468094 __dissolving_NN_1
id_04033287 __queen_NN_8
id_01283185 __lake_trasimenus_NN_1
id_05403149 __serum_NN_1
id_13984613 __shadowiness_NN_1
id_08731953 __french_indochina_NN_1
id_02527085 __compass_VB_1
id_11859981 __lewisia_NN_1
id_06477371 __identity_card_NN_1
id_07165086 __tender_NN_3
id_01801088 __scrub_fowl_NN_1
id_08751317 __hispaniola_NN_1
id_08000304 __range_of_a_function_NN_1
id_08124649 __center_for_disease_control_and_prevention_NN_1
id_08784905 __isole_egadi_NN_1
id_01726960 __family_colubridae_NN_1
id_06872122 __singing_voice_NN_1
id_07520612 __terror_NN_1
id_13465530 __diffusion_NN_1
id_13053816 __genus_fomes_NN_1
id_05295381 __ligament_NN_1
id_00521641 __blue_VB_1
id_02677028 __acrylic_NN_4
id_07812913 __wintergreen_oil_NN_1
id_01906749 __sponge_NN_4
id_12812235 __acanthus_NN_1
id_01908287 __coelenterate_family_NN_1
id_08548733 __department_NN_2
id_12875861 __sweet_unicorn_plant_NN_1
id_00081725 __heal_VB_3
id_12107489 __genus_alopecurus_NN_1
id_10350220 __nazi_NN_1
id_04588739 __window_NN_8
id_09044862 __usa_NN_1
id_02435689 __tragulidae_NN_1
id_03249342 __pharmacy_NN_2
id_08278324 __college_NN_2
id_01985331 __genus_astacus_NN_1
id_01555809 __true_flycatcher_NN_1
id_09748239 __krauthead_NN_1
id_07383823 __step_NN_7
id_12508309 __milk_vetch_NN_1
id_11612018 __swiss_stone_pine_NN_1
id_02514988 __subclass_crossopterygii_NN_1
id_08410688 __public_school_NN_2
id_08729971 __nei_monggol_NN_1
id_09993901 __woolgatherer_NN_1
id_05869584 __whole_NN_1
id_08834916 __northern_territory_NN_1
id_01105259 __transportation_NN_5
id_11161412 __virgin_mary_NN_1
id_00328015 __return_NN_5
id_10511960 __recorder_NN_3
id_01833906 __prolapse_VB_1
id_10067305 __evangelist_NN_2
id_02800497 __cellar_NN_1
id_11390364 __williams_NN_1
id_00803394 __doubling_NN_2
id_09947127 __complexifier_NN_1
id_04514738 __upper_deck_NN_1
id_01710190 __belly_dance_VB_1
id_14023997 __arousal_NN_2
id_01375204 __actinomycete_NN_1
id_03331599 __fibre_optic_cable_NN_1
id_13844690 __temporal_relation_NN_1
id_01053221 __hoot_VB_2
id_07828275 __lemon_extract_NN_1
id_07203696 __affirmative_NN_1
id_02058074 __family_diomedeidae_NN_1
id_04601159 __workhouse_NN_1
id_08251303 __conspiracy_NN_3
id_01608086 __pernis_NN_1
id_01633578 __megalobatrachus_NN_1
id_04980920 __body_odour_NN_1
id_06977434 __ancient_greek_NN_1
id_10613996 __sweetheart_NN_3
id_06339416 __title_of_respect_NN_1
id_08015321 __supporters_of_islam_NN_1
id_07931280 __wassail_NN_1
id_14785325 __native_sulphur_NN_1
id_04641153 __obligingness_NN_1
id_07349532 __rolling_wave_NN_1
id_09201031 __aperture_NN_2
id_10337488 __mugwump_NN_2
id_09747191 __vietnamese_NN_1
id_01032368 __church_service_NN_1
id_10543795 __rusher_NN_3
id_10218989 __jacobite_NN_1
id_09196103 __heilong_jiang_NN_1
id_09338453 __river_lethe_NN_1
id_03474167 __riding_habit_NN_1
id_05038251 __savagery_NN_1
id_11598100 __genus_catha_NN_1
id_02463704 __shrink_from_VB_1
id_06891022 __presentation_NN_3
id_03973170 __pocketbook_NN_3
id_12250180 __white_alder_NN_2
id_07967982 __race_NN_3
id_05456945 __gamete_NN_1
id_12908432 __genus_nierembergia_NN_1
id_12474167 __solomon's-seal_NN_1
id_09418484 __sacramento_mountains_NN_1
id_06743506 __solvent_NN_2
id_10234867 __king_of_the_germans_NN_1
id_04027367 __push-button_radio_NN_1
id_12655869 __raspberry_bush_NN_1
id_02512922 __nonviolent_JJ_1
id_10060352 __entrepreneur_NN_1
id_00311687 __pilgrimage_NN_1
id_02392282 __genus_rhinoceros_NN_1
id_14424517 __restoration_NN_4
id_10741590 __user_NN_1
id_12253229 __epacris_NN_1
id_06663940 __dictate_NN_1
id_01589125 __family_certhiidae_NN_1
id_14080622 __periodontitis_NN_1
id_09393108 __pit_NN_1
id_11374281 __ward_NN_4
id_09272468 __eliminator_NN_1
id_02189535 __mayetiola_NN_1
id_06641924 __stock_market_index_NN_1
id_11810559 __hernaria_NN_1
id_12792638 __saxifraga_NN_1
id_01507175 __bird_genus_NN_1
id_05129565 __length_NN_4
id_08946187 __republic_of_ghana_NN_1
id_00176756 __enucleate_VB_1
id_00132601 __single_NN_1
id_08057816 __chain_NN_4
id_10168584 __inheritor_NN_1
id_08349916 __central_bank_NN_1
id_05658603 __smell_NN_4
id_02450034 __marten_cat_NN_1
id_12109827 __oat_NN_1
id_02055658 __sphenisciform_seabird_NN_1
id_02534352 __salmonidae_NN_1
id_06380879 __rondel_NN_1
id_05864177 __variate_NN_1
id_06743362 __explication_NN_2
id_01751389 __underplay_VB_1
id_00604424 __speakership_NN_1
id_02655135 __be_VB_3
id_09504135 __supernatural_being_NN_1
id_06820425 __ascii_character_NN_1
id_00740342 __culpable_negligence_NN_1
id_09759311 __schoolman_NN_2
id_00846021 __shtup_NN_1
id_08705397 __democratic_and_popular_republic_of_algeria_NN_1
id_10625285 __sophisticate_NN_1
id_05650579 __attention_NN_5
id_00625963 __panel_VB_2
id_02457586 __megalonychidae_NN_1
id_00390560 __deaden_VB_1
id_02499434 __genus_arctocebus_NN_1
id_12638556 __wild_plum_tree_NN_1
id_09956387 __connoisseur_NN_1
id_12710577 __satsuma_tree_NN_1
id_02340930 __pitymys_pinetorum_NN_1
id_01456088 __upheave_VB_1
id_02886599 __bracing_NN_1
id_07220773 __yarn_NN_1
id_09609871 __modifier_NN_3
id_02421374 __unloosen_VB_1
id_11931918 __aster_NN_1
id_02495038 __detain_VB_1
id_00593219 __headship_NN_1
id_05681117 __sleeping_NN_1
id_09267490 __discard_NN_1
id_13356112 __pecuniary_resource_NN_1
id_09017005 __odessa_NN_1
id_04695102 __inkblot_NN_1
id_00262792 __courageous_JJ_1
id_01407465 __illegitimate_JJ_2
id_00183505 __voting_NN_1
id_10438042 __plaiter_NN_1
id_01867697 __somersault_VB_1
id_07902336 __ardent_spirits_NN_1
id_05136150 __width_NN_1
id_06824757 __small_letter_NN_1
id_00646332 __urinalysis_NN_1
id_12822650 __symphytum_NN_1
id_00063557 __inflame_VB_5
id_09773245 __resister_NN_2
id_05560787 __leg_NN_1
id_11744583 __plant_family_NN_1
id_01266491 __promulgation_NN_3
id_01744082 __scale_VB_2
id_01413744 __rhodophyceae_NN_1
id_11402463 __yeats_NN_1
id_10569179 __second-rater_NN_1
id_07341860 __pass_NN_10
id_09776261 __affiant_NN_1
id_00100905 __warm_up_VB_4
id_07257815 __stake_NN_2
id_11956208 __genus_conyza_NN_1
id_12059479 __genus_disa_NN_1
id_12300441 __order_oleales_NN_1
id_07410207 __smash_NN_1
id_14976448 __wadding_NN_1
id_03160309 __dyke_NN_2
id_06346681 __credit_NN_8
id_13329047 __tax_write-off_NN_1
id_12457091 __lemon_lily_NN_1
id_04336645 __stretch_NN_3
id_03314378 __face_mask_NN_1
id_01830042 __upupa_epops_NN_1
id_01013367 __stress_VB_1
id_00060063 __abort_VB_2
id_02607455 __medical_JJ_3
id_05554189 __mammary_gland_NN_1
id_06768735 __misstatement_NN_1
id_08405490 __posse_comitatus_NN_1
id_10550673 __st._nick_NN_1
id_02432867 __genus_alces_NN_1
id_02507863 __procyon_NN_2
id_02291391 __tineidae_NN_1
id_03556811 __scooter_NN_4
id_02630052 __istiophoridae_NN_1
id_01385017 __entozoon_NN_1
id_04434932 __tights_NN_1
id_03456665 __topcoat_NN_1
id_09062585 __berkeley_NN_2
id_09880427 __bureaucrat_NN_1
id_12453186 __snake's_head_fritillary_NN_1
id_09753204 __scorpion_NN_1
id_04987620 __tone_NN_3
id_00407458 __fix_VB_7
id_03471030 __gusher_NN_1
id_01655763 __frame_up_VB_1
id_09547353 __flying_dutchman_NN_1
id_02804590 __suburban_JJ_1
id_02299269 __subscribe_VB_4
id_12629523 __genus_eriobotrya_NN_1
id_01143838 __track_down_VB_1
id_09095751 __hub_of_the_universe_NN_1
id_09860415 __blogger_NN_1
id_05233100 __gonion_NN_1
id_00238022 __unveiling_NN_2
id_07988857 __mates_NN_1
id_12847749 __hedeoma_NN_1
id_00652622 __catalogue_VB_1
id_15239292 __season_NN_3
id_10480253 __professional_person_NN_1
id_01962223 __family_anomiidae_NN_1
id_06893285 __premiere_NN_1
id_04012084 __propeller_plane_NN_1
id_05725269 __twinge_NN_2
id_12618942 __rosales_NN_1
id_05504532 __autonomic_nervous_system_NN_1
id_02101108 __spaniel_NN_1
id_07518132 __ill_temper_NN_1
id_06469377 __review_NN_7
id_02126022 __stink_up_VB_1
id_08983105 __warszawa_NN_1
id_09984298 __steward_NN_5
id_09777353 __agent_NN_2
id_02317983 __subclass_euryalida_NN_1
id_08855763 __governador_valadares_NN_1
id_01835769 __european_nightjar_NN_1
id_12936333 __genus_coriandrum_NN_1
id_01068773 __abstinence_NN_2
id_12600417 __polygonales_NN_1
id_10661216 __stranger_NN_2
id_09513902 __semitic_deity_NN_1
id_03417345 __garden_NN_1
id_10867708 __sir_david_bruce_NN_1
id_02860415 __spool_NN_1
id_00611481 __remember_VB_8
id_03340463 __filter-tipped_cigarette_NN_1
id_02027226 __huddle_together_VB_1
id_01495192 __squatinidae_NN_1
id_01053067 __superposition_NN_4
id_02848216 __blade_NN_9
id_14868564 __filtrate_NN_1
id_03812119 __shore_station_NN_1
id_13956488 __verity_NN_1
id_00052374 __wear_VB_1
id_10757193 __visitor_NN_1
id_00730052 __think_of_VB_4
id_00490722 __step_VB_9
id_09126305 __tar_heel_state_NN_1
id_10386071 __ouster_NN_1
id_04532106 __vestment_NN_1
id_07668702 __pork_NN_1
id_07555863 __solid_food_NN_1
id_06507941 __scorecard_NN_1
id_10974740 __president_ford_NN_1
id_04316646 __tail_NN_8
id_06533039 __rico_act_NN_1
id_02962545 __card_NN_1
id_00967098 __report_VB_5
id_01899360 __imprudent_JJ_1
id_01358023 __stud_VB_2
id_02704153 __upper_NN_3
id_01207527 __touch_VB_11
id_05962414 __gymnosophy_NN_1
id_05928513 __version_NN_5
id_05403849 __chyle_NN_1
id_05308310 __tooth_root_NN_1
id_07042735 __keen_NN_1
id_09443453 __spring_NN_3
id_00435853 __roll_up_VB_1
id_15153472 __middle_age_NN_1
id_06928839 __mongolic_language_NN_1
id_03561657 __overlapping_NN_1
id_08932568 __paris_NN_1
id_04280970 __spit_NN_3
id_13499165 __deflation_NN_1
id_02773838 __travelling_bag_NN_1
id_03724417 __masher_NN_2
id_00355691 __relaxation_NN_7
id_09038990 __kurdistan_NN_1
id_13454318 __cultivation_NN_4
id_03023415 __chlortetracycline_NN_1
id_09962414 __convert_NN_1
id_02130524 __look_VB_1
id_01300508 __ypres_NN_3
id_08221348 __division_NN_7
id_00892467 __recognize_VB_7
id_02653651 __axiomatic_JJ_2
id_02525703 __rattail_fish_NN_1
id_14636523 __hahnium_NN_1
id_08645212 __weald_NN_1
id_03058726 __coat_of_arms_NN_1
id_03116767 __tabulator_NN_1
id_01331518 __hemstitch_VB_1
id_02724417 __relate_VB_4
id_06060845 __pathology_NN_1
id_04510456 __us_mint_NN_1
id_01363648 __put_on_VB_7
id_12132502 __sugarcane_NN_2
id_04326084 __stone_NN_2
id_04294879 __stalls_NN_1
id_00885217 __oblige_VB_2
id_02699141 __typify_VB_1
id_10698368 __tv_reporter_NN_1
id_07047804 __adagio_NN_1
id_08436562 __trade_NN_5
id_06416206 __catalogue_NN_2
id_08921392 __kyushu_NN_1
id_07575076 __tiffin_NN_1
id_06856568 __scale_NN_6
id_07860988 __dough_NN_1
id_01915811 __coral_NN_4
id_00043609 __disposition_NN_2
id_09184405 __wee_small_voice_NN_1
id_10778345 __friar_preacher_NN_1
id_01822164 __psittacula_NN_1
id_08038379 __popular_front_for_the_liberation_of_palestine_NN_1
id_14629149 __atomic_number_33_NN_1
id_00300317 __anglicize_VB_1
id_12641413 __cherry_tree_NN_1
id_08736517 __republic_of_cote_d'ivoire_NN_1
id_02664769 __equal_VB_1
id_02645839 __weigh_VB_4
id_00908351 __nurture_VB_1
id_11567411 __magnoliopsid_genus_NN_1
id_08958334 __tyre_NN_1
id_15214840 __kislev_NN_1
id_07011529 __soliloquy_NN_2
id_00365810 __sublime_VB_1
id_11832480 __beta_vulgaris_rubra_NN_1
id_00762478 __negociate_VB_5
id_08521816 __midpoint_NN_1
id_10406072 __patrial_NN_1
id_13395407 __tenner_NN_2
id_10351874 __treater_NN_1
id_03079230 __compact_disk_NN_1
id_08558963 __residence_NN_1
id_01742726 __cultivate_VB_1
id_03916470 __perfumery_NN_1
id_01964271 __mytilus_edulis_NN_1
id_04931428 __touch_NN_4
id_11985739 __krigia_NN_1
id_00135311 __jab_NN_3
id_00739850 __concurrent_negligence_NN_1
id_13783038 __logical_relation_NN_1
id_01613615 __young_bird_NN_1
id_08287844 __culture_NN_1
id_07711569 __mashed_potato_NN_1
id_08688076 __pisces_the_fishes_NN_1
id_07531536 __pride_NN_2
id_00335384 __inclining_NN_1
id_10616204 __snitcher_NN_1
id_13187167 __genus_cyathea_NN_1
id_01263018 __spoiling_NN_2
id_01378556 __spread_VB_1
id_13983807 __total_darkness_NN_1
id_04939324 __breakableness_NN_1
id_12097556 __marlberry_NN_1
id_05651680 __understanding_NN_4
id_00706243 __propose_VB_2
id_07769584 __quince_NN_2
id_02451912 __interfere_VB_1
id_14137561 __lymphopathia_venereum_NN_1
id_00462894 __burke_VB_2
id_11454591 __inundation_NN_1
id_00597265 __president_of_the_united_states_NN_2
id_01703613 __sonnet_VB_2
id_12682054 __family_dipsacaceae_NN_1
id_01397114 __algae_NN_1
id_07323922 __origination_NN_1
id_09157021 __wheeling_NN_1
id_10712690 __tippler_NN_1
id_11263558 __ritz_NN_1
id_04216963 __sights_NN_1
id_11855122 __phytolacca_NN_1
id_03169390 __ornamentation_NN_2
id_03826443 __nitrofurantoin_NN_1
id_00541178 __swing_NN_9
id_09354511 __midstream_NN_1
id_09032843 __interlaken_NN_1
id_06142118 __ip_NN_1
id_08753294 __san_juan_NN_1
id_00001740 __take_a_breath_VB_1
id_01672950 __rhynchocephalia_NN_1
id_01450453 __holocentrus_NN_1
id_11917633 __genus_ageratina_NN_1
id_00273445 __habituate_VB_2
id_09215437 __basin_NN_3
id_01105296 __outroar_VB_1
id_02678438 __worry_VB_4
id_03318294 __fairy_light_NN_1
id_09643545 __yellow_man_NN_1
id_01033903 __little_office_NN_1
id_12406715 __ulmus_carpinifolia_NN_1
id_12510774 __red_gram_NN_1
id_05896733 __hallucination_NN_2
id_02873244 __boot_NN_2
id_01546039 __scrubbird_NN_1
id_07944050 __youth_NN_2
id_13998263 __vassalage_NN_1
id_11359187 __vanderbilt_NN_1
id_08390374 __paratroops_NN_1
id_09229409 __creek_NN_1
id_08097072 __sivaism_NN_1
id_03029603 __sloping_trough_NN_1
id_13120211 __liana_NN_1
id_10540656 __roundhead_NN_1
id_05633672 __inventiveness_NN_1
id_01970826 __go_down_VB_1
id_13651931 __quarter_mile_NN_1
id_01445027 __tusk_VB_1
id_13971065 __agreement_NN_3
id_02555863 __perch_NN_7
id_10691764 __tapster_NN_1
id_15167027 __nighttime_NN_1
id_04590746 __wiper_blade_NN_1
id_03014440 __chessman_NN_1
id_12349091 __melastoma_NN_1
id_04999401 __fatness_NN_1
id_09138538 __charleston_NN_2
id_01653026 __western_narrow-mouthed_toad_NN_1
id_01545752 __family_atrichornithidae_NN_1
id_06775812 __sentimentalism_NN_1
id_11269085 __roget_NN_1
id_02191131 __genus_glossina_NN_1
id_10316862 __military_leader_NN_1
id_01015104 __vouch_VB_1
id_09899289 __cashier_NN_2
id_00112674 __depression_NN_10
id_13123431 __strangler_tree_NN_1
id_07351612 __turning_NN_4
id_11313911 __st._denis_NN_1
id_08737041 __republic_of_guatemala_NN_1
id_09949946 __typographer_NN_1
id_09535622 __goddess_NN_1
id_01205341 __quislingism_NN_1
id_07124340 __vulgarism_NN_1
id_03132438 __loop_NN_1
id_13555915 __sink_NN_2
id_01445597 __gnaw_VB_1
id_03545961 __house_of_correction_NN_1
id_01846916 __travel_VB_4
id_02987177 __mutational_JJ_1
id_07122555 __hoot_NN_1
id_08459252 __sequence_NN_1
id_15187619 __presidents'_day_NN_1
id_11649878 __celery_pine_NN_1
id_02330407 __rail_VB_3
id_11818636 __vaccaria_pyramidata_NN_1
id_01589718 __certhia_americana_NN_1
id_00899352 __curtsy_VB_2
id_07446599 __spritz_NN_1
id_10733999 __twaddler_NN_1
id_02244670 __genus_arilus_NN_1
id_07631672 __simnel_NN_2
id_09928845 __clever_dick_NN_1
